Método,Gamma,Eta,Iterações,Iterações Armijo,Ponto otimo,Erro de aproximacao
Gradiente,0.1,0.1,25,128,"[-2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401
 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403
 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399
 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403
 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392
 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401
 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403
 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399
 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403
 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392
 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401
 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403
 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399
 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403
 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392
 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401
 -2.90353403 -2.90353399 -2.90353403 -2.90353392]",3.587862883612542e-05
Newton,0.1,0.1,25,475,"[ 0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04
 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06
  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06]",49.27790978414567
Quase Newton (BFGS),0.1,0.1,25,125,"[-3.25337323  2.08271196  1.3924282  -1.53739889  2.31168141 -3.25337067
  2.08271196  0.3849339  -1.53739889 -3.10974819 -3.2533713   2.65795638
  1.3924282  -1.53739889 -3.1097482  -3.25336999  2.08271196 -3.5933038
 -3.32136006 -3.1097482  -3.25336983  2.08271196  1.3924282  -1.53739889
  2.31168141 -3.2533702   0.25296665  1.3924282  -1.53739889 -3.1097482
 -3.25337035  0.2529667   1.3924282  -1.53739889  2.31168141 -3.25337735
 -4.4557738   1.3924282  -1.53739889 -3.1097482  -3.25337721 -4.45576922
  1.3924282  -1.53739889 -3.1097482  -3.25337743 -2.9441553   1.3924282
 -1.53739889 -3.1097482  -3.25337627 -4.45576242 -4.87806709 -1.53739889
 -3.1097482  -3.2533773   2.65795638  1.75995427 -1.53739889  2.31168141
 -3.25337616  2.08271196 -3.0944383  -1.53739889  2.31168141 -3.25337779
  2.08271196  1.75995427 -1.53739889 -3.10974821 -3.25337642  2.08271196
  1.75995427 -3.32135933 -3.10974821 -3.25337829  2.08271196  0.3849339
 -3.32135843  2.31168141 -3.25337833  2.65795637  1.75995427 -3.32135897
 -3.1097482  -3.25337912  2.08271196  0.38493389 -3.32135966  2.31168141
 -3.25337913  2.08271196  0.38493387 -3.32135805 -3.10974819 -3.25337879
  2.08271196  0.38493388 -3.32135989 -3.10974819]",541.4558351142567
Quase Newton (DFP),0.1,0.1,25,185,"[ 2.77264973  2.67366666 -2.98969997  2.92592873  2.65364124  2.77264973
  2.66980322 -2.98969997  2.93971086  2.65745193  2.77264973  2.67366666
 -2.98969997  2.92592873  2.65364124  2.77264973  2.66980322 -2.98969997
  2.93971086  2.65745193  2.77264973  2.67366666 -2.98969997  2.93971086
  2.65364124  2.77264973  2.67366666 -2.98969997  2.93971086  2.670804
  2.77264973  2.67462781 -2.98969997  2.92592873  2.65364124  2.77264973
  2.66980322 -2.98953125  2.92592873  2.67469439  2.77264973  2.67366666
 -2.98969997  2.93971086  2.65364124  2.77264973  2.66980322 -2.98969997
  2.92592873  2.65364124  2.77264973  2.67075274 -2.98969997  2.92592873
  2.65364124  2.77264973  2.66980322 -2.97727331  2.93971086  2.65485449
  2.77264973  2.67366666 -2.97727331  2.92592873  2.65868201  2.77264973
  2.66980322 -2.98969997  2.92592873  2.65868201  2.77264973  2.66980322
 -2.98953125  2.92592873  2.65868201  2.72728802  2.67366666 -2.98953125
  2.93971086  2.65868201  2.72728802  2.67366666 -2.98969997  2.92592873
  2.65364124  2.77264973  2.67366666 -2.98953125  2.93971086  2.670804
  2.72728802  2.67366666 -2.98969997  2.92592873  2.67469439  2.72728802
  2.67366666 -2.98969997  2.93971086  2.67469439]",67.11956794787761
Gradiente,0.1,0.25,25,128,"[-2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401
 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403
 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399
 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403
 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392
 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401
 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403
 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399
 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403
 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392
 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401
 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403
 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399
 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403
 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392
 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401
 -2.90353403 -2.90353399 -2.90353403 -2.90353392]",3.587862883612542e-05
Newton,0.1,0.25,25,475,"[ 0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04
 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06
  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06]",49.27790978414567
Quase Newton (BFGS),0.1,0.25,25,319,"[-2.92992152  1.53076108  0.94905908  0.3376476  -2.09016886 -2.92992152
  1.53076108  0.94905908  0.3376476  -2.09016886 -2.92992152  1.53076108
  0.94905908  0.3376476  -2.09016886 -2.92992152  1.53076108  0.94905908
  0.3376476  -2.09016886 -2.92992152  1.53076108  0.94905908  0.3376476
 -2.09016886 -2.92992152  1.53076108  0.94905908  0.3376476  -2.09016886
 -2.92992152  1.53076108  0.94905908  0.3376476  -2.09016886 -2.92992152
  1.53076108  0.94905908  0.3376476  -2.09016886 -2.92992152  1.53076108
  0.94905908  0.3376476  -2.09016886 -2.92992152  1.53076108  0.94905908
  0.3376476  -2.09016886 -2.92992152  1.53076108  0.94905908  0.3376476
 -2.09016886 -2.92992152  1.53076108  0.94905908  0.3376476  -2.09016886
 -2.92992152  1.53076108  0.94905908  0.3376476  -2.09016886 -2.92992152
  1.53076108  0.94905908  0.3376476  -2.09016886 -2.92992152  1.53076108
  0.94905908  0.3376476  -2.09016886 -2.92992152  1.53076108  0.94905908
  0.3376476  -2.09016886 -2.92992152  1.53076108  0.94905908  0.3376476
 -2.09016886 -2.92992152  1.53076108  0.94905908  0.3376476  -2.09016886
 -2.92992152  1.53076108  0.94905908  0.3376476  -2.09016886 -2.92992152
  1.53076108  0.94905908  0.3376476  -2.09016886]",230.0341688915089
Quase Newton (DFP),0.1,0.25,25,318,"[3.03252266 2.75298392 1.30837822 2.13106621 3.0685256  3.03252266
 2.75298392 1.30837822 2.13106621 3.0685256  3.03252266 2.75298392
 1.30837822 2.13106621 3.0685256  3.03252266 2.75298392 1.30837822
 2.13106621 3.0685256  3.03252266 2.75298392 1.30837822 2.13106621
 3.0685256  3.03252266 2.75298392 1.30837822 2.13106621 3.07273999
 3.03252266 2.75298392 1.30837822 2.13106621 3.0685256  3.03252266
 2.75298392 1.30837822 2.13106621 3.07273999 3.03252266 2.75298392
 1.30837822 2.13106621 3.0685256  3.03252266 2.75298392 1.30837822
 2.13106621 3.0685256  3.03252266 2.75298392 1.30837822 2.13106621
 3.0685256  3.03252266 2.75298392 1.30837822 2.13106621 3.0685256
 3.03252266 2.75298392 1.30837822 2.13106621 3.0685256  3.03252266
 2.75298392 1.30837822 2.13106621 3.0685256  3.03252266 2.75298392
 1.30837822 2.13106621 3.0685256  3.02842443 2.75298392 1.30837822
 2.13106621 3.0685256  3.02842443 2.75298392 1.30837822 2.13106621
 3.0685256  3.03252266 2.75298392 1.30837822 2.13106621 3.07273999
 3.02842443 2.75298392 1.30837822 2.13106621 3.07273999 3.02842443
 2.75298392 1.30837822 2.13106621 3.07273999]",212.65939769317689
Gradiente,0.1,0.5,25,128,"[-2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401
 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403
 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399
 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403
 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392
 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401
 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403
 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399
 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403
 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392
 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401
 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403
 -2.90353399 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399
 -2.90353403 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403
 -2.90353392 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392
 -2.90353401 -2.90353403 -2.90353399 -2.90353403 -2.90353392 -2.90353401
 -2.90353403 -2.90353399 -2.90353403 -2.90353392]",3.587862883612542e-05
Newton,0.1,0.5,25,475,"[ 0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04
 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06
  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06]",49.27790978414567
Quase Newton (BFGS),0.1,0.5,25,323,"[ 0.53192449 -2.81406779  0.87794635  0.16922437  1.16626026  0.53192449
 -2.81406779  0.87794635 -3.27492713  1.16626026  0.53192449 -2.81406779
  0.87794635  0.16922437  1.16626026  0.53192449 -2.81406779  0.87794635
  0.16922437  1.16626026  0.53192449 -2.81406779  0.87794635  0.16922437
  1.16626026  0.53192449 -2.81406779  0.87794635  0.16922437  1.16626026
  0.53192449 -2.81406779  0.87794635  0.16922437  1.16626026  0.53192449
 -2.81406779  0.87794635 -3.27492713  1.16626026  0.53192449 -1.33008481
  0.87794635  0.16922437  1.16626026  0.53192449 -2.81406779  0.87794635
 -3.27492713  1.16626026  0.53192449 -1.33008481  0.87794635  0.16922437
  1.16626026  0.53192449 -1.33008481  0.87794635  0.16922437  1.16626026
  0.53192449 -1.33008481  0.87794635  0.16922437  1.16626026  0.53192449
 -1.33008481  0.87794635  0.16922437  1.16626026  0.53192449 -1.33008481
  0.87794635  0.16922437  1.16626026  0.53192449 -1.33008481  0.87794635
  0.16922437  1.16626026  0.53192449 -1.33008481  0.87794635  0.16922437
  1.16626026  0.53192449 -1.33008481  0.87794635  0.16922437  1.16626026
  0.53192449 -1.33008481  0.87794635  0.16922437  1.16626026  0.53192449
 -1.33008481  0.87794635  0.16922437  1.16626026]",208.73335179317044
Quase Newton (DFP),0.1,0.5,25,136,"[-2.79562314 -3.24461913 -2.56598239 -3.55042566 -2.21209196 -2.79562314
 -3.24461913 -2.56598249 -3.55042571 -2.21209196 -2.79562314 -3.24461913
 -2.56598249 -3.55042566 -2.21209196 -2.79562314 -3.24461913 -2.56598249
 -3.55042571 -2.21209196 -2.79562314 -3.24461913 -2.56598249 -3.55042566
 -2.21209196 -2.79562314 -3.24461913 -2.56598249 -3.55042566 -2.21209196
 -2.79562314 -3.24461913 -2.56598249 -3.55042571 -2.21209196 -2.79562314
 -3.24461913 -2.56598249 -3.55042571 -2.21209196 -2.79562314 -3.24461913
 -2.56598249 -3.55042566 -2.21209196 -2.79562314 -3.24461913 -2.56598249
 -3.55042571 -2.21209196 -2.79562314 -3.24461913 -2.56598249 -3.55042571
 -2.21209196 -2.79562314 -3.24461913 -2.56598239 -3.55042566 -2.21209196
 -2.79562314 -3.24461913 -2.56598249 -3.55042571 -2.21209196 -2.79562314
 -3.24461913 -2.56598239 -3.55042566 -2.21209196 -2.79562314 -3.24461913
 -2.56598249 -3.55042571 -2.21209196 -2.79562314 -3.24461913 -2.56598249
 -3.55042571 -2.21209196 -2.79562314 -3.24461913 -2.56598249 -3.55042571
 -2.21209196 -2.79562314 -3.24461913 -2.56598249 -3.55042571 -2.21209196
 -2.79562314 -3.24461913 -2.56598249 -3.55042571 -2.21209196 -2.79562314
 -3.24461913 -2.56598249 -3.55042566 -2.21209196]",343.76836913420186
Gradiente,0.1,0.9,25,96,"[-2.720868   -2.92674785 -2.57593503 -2.97341412 -2.36919864 -2.720868
 -2.92674785 -2.57593503 -2.97341412 -2.36919864 -2.720868   -2.92674785
 -2.57593503 -2.97341412 -2.36919864 -2.720868   -2.92674785 -2.57593503
 -2.97341412 -2.36919864 -2.720868   -2.92674785 -2.57593503 -2.97341412
 -2.36919864 -2.720868   -2.92674785 -2.57593503 -2.97341412 -2.36919864
 -2.720868   -2.92674785 -2.57593503 -2.97341412 -2.36919864 -2.720868
 -2.92674785 -2.57593503 -2.97341412 -2.36919864 -2.720868   -2.92674785
 -2.57593503 -2.97341412 -2.36919864 -2.720868   -2.92674785 -2.57593503
 -2.97341412 -2.36919864 -2.720868   -2.92674785 -2.57593503 -2.97341412
 -2.36919864 -2.720868   -2.92674785 -2.57593503 -2.97341412 -2.36919864
 -2.720868   -2.92674785 -2.57593503 -2.97341412 -2.36919864 -2.720868
 -2.92674785 -2.57593503 -2.97341412 -2.36919864 -2.720868   -2.92674785
 -2.57593503 -2.97341412 -2.36919864 -2.720868   -2.92674785 -2.57593503
 -2.97341412 -2.36919864 -2.720868   -2.92674785 -2.57593503 -2.97341412
 -2.36919864 -2.720868   -2.92674785 -2.57593503 -2.97341412 -2.36919864
 -2.720868   -2.92674785 -2.57593503 -2.97341412 -2.36919864 -2.720868
 -2.92674785 -2.57593503 -2.97341412 -2.36919864]",160.374902875906
Newton,0.1,0.9,3,3,"[0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126]",4.9996825203340885e-15
