Método,Gamma,Eta,Iterações,Iterações Armijo,Ponto otimo
Gradiente,0.1,0.1,54,162,[2.99999999 2.00000003]
Newton,0.1,0.1,5,5,[3. 2.]
Quase Newton (BFGS),0.1,0.1,8,12,[2.99999999 2.        ]
Quase Newton (DFP),0.1,0.1,1000,1060,[3.00000009 1.99999987]
Gradiente,0.1,0.25,54,162,[2.99999999 2.00000003]
Newton,0.1,0.25,5,5,[3. 2.]
Quase Newton (BFGS),0.1,0.25,8,12,[2.99999999 2.        ]
Quase Newton (DFP),0.1,0.25,449,521,[2.99999998 2.00000003]
Gradiente,0.1,0.5,61,191,[2.99999999 2.00000003]
Newton,0.1,0.5,5,5,[3. 2.]
Quase Newton (BFGS),0.1,0.5,12,18,[3.00000001 1.99999998]
Quase Newton (DFP),0.1,0.5,740,872,[3.00000002 1.99999997]
Gradiente,0.1,0.9,613,2452,[2.99999999 2.00000004]
Newton,0.1,0.9,180,360,[3.00000001 2.00000001]
Quase Newton (BFGS),0.1,0.9,181,366,[3.00000001 2.00000001]
Quase Newton (DFP),0.1,0.9,1000,1351,[2.99998174 2.00003253]
Gradiente,0.25,0.1,33,124,[2.99999999 2.00000003]
Newton,0.25,0.1,5,5,[3. 2.]
Quase Newton (BFGS),0.25,0.1,1000,26903,[2.61007993 1.92713238]
Quase Newton (DFP),0.25,0.1,172,203,[3.00000001 1.99999997]
Gradiente,0.25,0.25,33,134,[2.99999999 2.00000003]
Newton,0.25,0.25,5,5,[3. 2.]
Quase Newton (BFGS),0.25,0.25,11,18,[3. 2.]
Quase Newton (DFP),0.25,0.25,551,604,[2.99999998 2.00000003]
Gradiente,0.25,0.5,36,150,[2.99999999 2.00000003]
Newton,0.25,0.5,5,5,[3. 2.]
Quase Newton (BFGS),0.25,0.5,11,18,[3. 2.]
Quase Newton (DFP),0.25,0.5,825,925,[3.00000002 1.99999997]
Gradiente,0.25,0.9,181,944,[2.99999999 2.00000003]
Newton,0.25,0.9,294,882,[3.00000001 2.00000001]
Quase Newton (BFGS),0.25,0.9,293,885,[3.00000001 2.00000001]
Quase Newton (DFP),0.25,0.9,1000,1213,[3.00117551 1.99797264]
Gradiente,0.5,0.1,23,155,[2.99999999 2.00000001]
Newton,0.5,0.1,5,5,[3. 2.]
Quase Newton (BFGS),0.5,0.1,11,19,[2.99999999 2.        ]
Quase Newton (DFP),0.5,0.1,156,196,[3.00000001 1.99999997]
Gradiente,0.5,0.25,19,130,[3.         2.00000001]
Newton,0.5,0.25,5,5,[3. 2.]
Quase Newton (BFGS),0.5,0.25,8,20,[3.         1.99999999]
Quase Newton (DFP),0.5,0.25,790,836,[3.00000002 1.99999997]
Gradiente,0.5,0.5,25,179,[3.         2.00000001]
Newton,0.5,0.5,5,5,[3. 2.]
Quase Newton (BFGS),0.5,0.5,11,25,[3. 2.]
Quase Newton (DFP),0.5,0.5,1000,1095,[3.00000003 1.99999994]
Gradiente,0.5,0.9,166,1528,[2.99999999 2.00000003]
Newton,0.5,0.9,143,572,[3.00000001 2.00000001]
Quase Newton (BFGS),0.5,0.9,143,585,[3.00000001 2.00000001]
Quase Newton (DFP),0.5,0.9,1000,1451,[3.00004614 1.9999189 ]
Gradiente,0.9,0.1,48,1819,[3.00000001 2.        ]
Newton,0.9,0.1,5,5,[3. 2.]
Quase Newton (BFGS),0.9,0.1,12,74,[3. 2.]
Quase Newton (DFP),0.9,0.1,288,478,[3.00000001 1.99999997]
Gradiente,0.9,0.25,28,1092,[3.         2.00000001]
Newton,0.9,0.25,5,5,[3. 2.]
Quase Newton (BFGS),0.9,0.25,10,108,[3. 2.]
Quase Newton (DFP),0.9,0.25,26,189,[3. 2.]
Gradiente,0.9,0.5,24,938,[2.99999998 2.00000001]
Newton,0.9,0.5,5,5,[3. 2.]
Quase Newton (BFGS),0.9,0.5,9,91,[3.00000001 1.99999999]
Quase Newton (DFP),0.9,0.5,608,967,[2.99999998 2.00000003]
Gradiente,0.9,0.9,94,4730,[2.99999999 2.00000003]
Newton,0.9,0.9,93,1580,[3.00000001 2.00000001]
Quase Newton (BFGS),0.9,0.9,93,1662,[3.00000001 2.00000001]
Quase Newton (DFP),0.9,0.9,1000,2901,[2.99999601 2.00000681]
